EC,kcat VALUE,ORGANISM,log10_kcat,UNIPROT_list,reaction_IDs,PMID,BiGG acc,BiGG ID
1.1.1.1,3.8,Sulfolobus acidocaldarius,0.5797835966168101,"['Q4J702', 'Q4J9F2']",23,20049620.0,0.9868995633187773,HSDxi
1.1.1.1,3.1,Thermus thermophilus,0.4913616938342727,,79,18456852.0,0.9867354458364038,VNDH_2_r
1.1.1.1,0.37,Saccharolobus solfataricus,-0.431798275933005,['P39462'],47,19588068.0,0.9867354458364038,VNDH_2
1.1.1.1,0.6,Aeropyrum pernix,-0.2218487496163564,['Q9Y9P9'],124,16233615.0,0.9867354458364038,VNDH_2
1.1.1.1,1.6,Thermus thermophilus,0.2041199826559248,,80,18456852.0,0.9867354458364038,VNDH_2
1.1.1.1,2.9,Saccharolobus solfataricus,0.4623979978989561,['P39462'],47,19588068.0,0.9867354458364038,VNDH_2
1.1.1.1,53,Kluyveromyces marxianus,1.724275869600789,"['G3FFC9', 'V9SCJ1', 'V9SDP6', 'V9SFA1']",213,24885162.0,0.9645953757225434,GLTPD_r
1.1.1.1,83,Parageobacillus thermoglucosidasius,1.919078092376074,,215,24100328.0,0.9638989169675091,GLTPD_r
1.1.1.1,138.1,Geobacillus thermodenitrificans,2.140193678578631,"['A4IP64', 'A4ISB9']",158,19383697.0,0.9645953757225434,GLTPD_r
1.1.1.1,138.1,Geobacillus thermodenitrificans,2.140193678578631,"['A4IP64', 'A4ISB9']",159,19383697.0,0.9638989169675091,GLTPD_r
1.1.1.1,283,Kluyveromyces marxianus,2.45178643552429,"['G3FFC9', 'V9SCJ1', 'V9SDP6', 'V9SFA1']",213,24885162.0,0.9645953757225434,GLTPD_r
1.1.1.1,350,Parageobacillus thermoglucosidasius,2.5440680443502757,,215,24100328.0,0.9638989169675091,GLTPD_r
1.1.1.1,404.8,Geobacillus thermodenitrificans,2.6072405038317426,"['A4IP64', 'A4ISB9']",158,19383697.0,0.9645953757225434,GLTPD_r
1.1.1.1,404.8,Geobacillus thermodenitrificans,2.6072405038317426,"['A4IP64', 'A4ISB9']",159,19383697.0,0.9638989169675091,GLTPD_r
1.1.1.1,681,Geobacillus stearothermophilus,2.833147111912785,['P42328'],189,26329849.0,0.9645953757225434,GLTPD_r
1.1.1.1,13.7,Thermococcus kodakarensis,1.1367205671564067,['Q5JI09'],183,23354700.0,0.9574314574314574,ALDD4_r
1.1.1.1,7.7,Thermus thermophilus,0.8864907251724818,,85,18456852.0,0.9673676577229877,4MBZALDH_r
1.1.1.1,7.7,Thermus thermophilus,0.8864907251724818,,86,18456852.0,0.9673676577229877,4MBZALDH_r
1.1.1.1,360,Yokenella sp.,2.5563025007672873,['W6CX26'],7,24509923.0,0.9743589743589743,ALDD3y_r
1.1.1.1,1.6,Sulfolobus acidocaldarius,0.2041199826559248,['Q4J9F2'],143,22805786.0,0.9809384164222874,ALR2x
1.1.1.1,1.02,Aeropyrum pernix,0.00860017176191757,['Q9Y9P9'],126,16233615.0,0.9723032069970845,4MBZALDH
1.1.1.1,3.6,Saccharolobus solfataricus,0.5563025007672873,['P39462'],48,19588068.0,0.9723032069970845,4MBZALDH
1.1.1.1,6.9,Moraxella sp.,0.8388490907372553,['Q8GIX7'],216,23525111.0,0.9723032069970845,4MBZALDH
1.1.1.1,24.9,Geobacillus stearothermophilus,1.3961993470957363,['P42328'],216,23525111.0,0.9723032069970845,4MBZALDH
1.1.1.1,93.3,Yokenella sp.,1.9698816437464999,['W6CX26'],8,24509923.0,0.9743589743589743,ALDD3y
1.1.1.1,2,Mycobacterium sp.,0.3010299956639812,['W8VSK8'],219,25082080.0,0.9681390296886314,ALDD4
1.1.1.1,55,Geobacillus stearothermophilus,1.7403626894942439,,210,23686507.0,0.9866765358993338,PXMO
1.1.1.1,43,Geobacillus stearothermophilus,1.6334684555795864,,211,23686507.0,0.9866765358993338,PXMO_r
1.1.1.1,4.4,Sulfolobus acidocaldarius,0.6434526764861874,"['Q4J702', 'Q4J9F2']",25,20049620.0,0.9161512027491409,GLYCDx
1.1.1.1,4.4,Sulfolobus acidocaldarius,0.6434526764861874,"['Q4J702', 'Q4J9F2']",25,20049620.0,0.9161512027491409,GLYCDx
1.1.1.1,7,Sulfolobus acidocaldarius,0.8450980400142568,['Q4J9F2'],144,22805786.0,0.9161512027491409,GLYCDx
1.1.1.1,0.0019,Sphingomonas sp. A1,-2.721246399047171,['A0A075B5H4'],197,29697194.0,0.981508875739645,ALDD4_r
1.1.1.1,0.0052,Sphingomonas sp. A1,-2.283996656365201,['A0A075B5H4'],203,29697194.0,0.9866171003717472,ALDD4_r
1.1.1.1,0.00086,Picrophilus torridus,-3.065501548756432,['Q6L0S1'],229,17989975.0,0.9645953757225434,GLTPD
1.1.1.1,0.00086,Picrophilus torridus,-3.065501548756432,['Q6L0S1'],230,17989975.0,0.968986905582357,NTRIRy_r
1.1.1.1,0.23,Aeropyrum pernix,-0.638272163982407,['Q9Y9P9'],128,16233615.0,0.9645953757225434,GLTPD
1.1.1.1,3.1,Saccharolobus solfataricus,0.4913616938342727,['P39462'],50,19588068.0,0.9645953757225434,GLTPD
1.1.1.1,3.2,Citrobacter sp. S-77,0.505149978319906,,212,26216639.0,0.9645953757225434,GLTPD
1.1.1.1,4.5,Kluyveromyces marxianus,0.6532125137753437,"['G3FFC9', 'V9SCJ1', 'V9SDP6', 'V9SFA1']",214,24885162.0,0.9645953757225434,GLTPD
1.1.1.1,33,Kluyveromyces marxianus,1.5185139398778875,"['G3FFC9', 'V9SCJ1', 'V9SDP6', 'V9SFA1']",214,24885162.0,0.9645953757225434,GLTPD
1.1.1.1,39.9,Flavobacterium frigidimaris,1.6009728956867482,['Q8L3C9'],250,17072683.0,0.9645953757225434,GLTPD
1.1.1.1,62.48,Flavobacterium frigidimaris,1.795741020869244,['Q8L3C9'],250,17072683.0,0.9645953757225434,GLTPD
1.1.1.1,109.5,Flavobacterium frigidimaris,2.0394141191761372,['Q8L3C9'],250,17072683.0,0.9645953757225434,GLTPD
1.1.1.1,142,Kluyveromyces marxianus,2.1522883443830563,"['G3FFC9', 'V9SCJ1', 'V9SDP6', 'V9SFA1']",214,24885162.0,0.9645953757225434,GLTPD
1.1.1.1,143,Saccharomyces cerevisiae,2.155336037465062,['P00330'],252,19034537.0,0.9645953757225434,GLTPD
1.1.1.1,158,Kluyveromyces marxianus,2.1986570869544226,"['G3FFC9', 'V9SCJ1', 'V9SDP6', 'V9SFA1']",214,24885162.0,0.9645953757225434,GLTPD
1.1.1.1,160.8,Flavobacterium frigidimaris,2.2062860444124324,['Q8L3C9'],250,17072683.0,0.9645953757225434,GLTPD
1.1.1.1,262.3,Flavobacterium frigidimaris,2.418798290590354,['Q8L3C9'],250,17072683.0,0.9645953757225434,GLTPD
1.1.1.1,305,Geobacillus stearothermophilus,2.484299839346786,['P42328'],191,26329849.0,0.9645953757225434,GLTPD
1.1.1.1,474.9,Flavobacterium frigidimaris,2.676602169582018,['Q8L3C9'],250,17072683.0,0.9645953757225434,GLTPD
1.1.1.1,2.35,Sulfolobus acidocaldarius,0.37106786227173627,"['Q4J702', 'Q4J9F2']",27,20049620.0,0.9803921568627451,HPYRRx
1.1.1.1,50.1,Thermus thermophilus,1.6998377258672457,,89,18456852.0,0.9803921568627451,HPYRRx
1.1.1.1,50.1,Thermus thermophilus,1.6998377258672457,,90,18456852.0,0.9803921568627451,HPYRRx
1.1.1.1,6.2,Sulfolobus acidocaldarius,0.7923916894982539,"['Q4J702', 'Q4J9F2']",32,20049620.0,0.9803921568627451,HPYRRx
1.1.1.1,9.2,Sulfolobus acidocaldarius,0.9637878273455552,"['Q4J702', 'Q4J9F2']",34,20049620.0,0.9698275862068966,HPYRRx
1.1.1.1,9.2,Sulfolobus acidocaldarius,0.9637878273455552,"['Q4J702', 'Q4J9F2']",34,20049620.0,0.9698275862068966,HPYRRx
1.1.1.1,38.1,Thermus thermophilus,1.5809249756756194,,92,18456852.0,0.9803921568627451,HPYRRx
1.1.1.1,195,Geobacillus stearothermophilus,2.290034611362518,['P42328'],192,26329849.0,0.9656897784131523,3HCINNMH
1.1.1.1,0.4,Aeropyrum pernix,-0.3979400086720376,['Q9Y9P9'],111,16233615.0,0.9681390296886314,ALDD4
1.1.1.1,0.4,Aeropyrum pernix,-0.3979400086720376,['Q9Y9P9'],112,16233615.0,0.9830383480825958,IPDPS_r
1.1.1.1,0.4,Aeropyrum pernix,-0.3979400086720376,['Q9Y9P9'],113,16233615.0,0.9605168700646087,ABUTD
1.1.1.1,0.4,Aeropyrum pernix,-0.3979400086720376,['Q9Y9P9'],114,16233615.0,0.9700729927007299,ALDD4
1.1.1.1,0.4,Aeropyrum pernix,-0.3979400086720376,['Q9Y9P9'],115,16233615.0,0.9788783685360525,DKGLCNR2x_r
1.1.1.1,0.4,Aeropyrum pernix,-0.3979400086720376,['Q9Y9P9'],121,16233615.0,0.9269938650306748,RHACOAR140_r
1.1.1.1,0.4,Aeropyrum pernix,-0.3979400086720376,['Q9Y9P9'],123,16233615.0,0.9743589743589743,ALDD4
1.1.1.1,0.4,Aeropyrum pernix,-0.3979400086720376,['Q9Y9P9'],124,16233615.0,0.9867354458364038,VNDH_2
1.1.1.1,0.4,Aeropyrum pernix,-0.3979400086720376,['Q9Y9P9'],126,16233615.0,0.9723032069970845,4MBZALDH
1.1.1.1,0.4,Aeropyrum pernix,-0.3979400086720376,['Q9Y9P9'],127,16233615.0,0.9866567828020756,GLYCDx
1.1.1.1,0.4,Aeropyrum pernix,-0.3979400086720376,['Q9Y9P9'],128,16233615.0,0.9645953757225434,GLTPD
1.1.1.1,0.84,Thermus thermophilus,-0.07572071393811836,,56,18456852.0,0.9630434782608696,DMPPS_r
1.1.1.1,0.84,Thermus thermophilus,-0.07572071393811836,,57,18456852.0,0.972953216374269,GLYCDx
1.1.1.1,0.84,Thermus thermophilus,-0.07572071393811836,,58,18456852.0,0.9673676577229877,4MBZALDH
1.1.1.1,0.84,Thermus thermophilus,-0.07572071393811836,,59,18456852.0,0.9765739385065886,4MBZALDH
1.1.1.1,0.84,Thermus thermophilus,-0.07572071393811836,,60,18456852.0,0.9780058651026393,4MBZALDH
1.1.1.1,0.84,Thermus thermophilus,-0.07572071393811836,,61,18456852.0,0.9780058651026393,4MBZALDH
1.1.1.1,0.84,Thermus thermophilus,-0.07572071393811836,,62,18456852.0,0.8953722334004024,HIBDkt
1.1.1.1,0.84,Thermus thermophilus,-0.07572071393811836,,66,18456852.0,0.9837758112094396,4MBZALDH
1.1.1.1,0.84,Thermus thermophilus,-0.07572071393811836,,67,18456852.0,0.9837758112094396,4MBZALDH
1.1.1.1,0.84,Thermus thermophilus,-0.07572071393811836,,68,18456852.0,0.9859467455621301,PXMO_r
1.1.1.1,0.84,Thermus thermophilus,-0.07572071393811836,,74,18456852.0,0.9743589743589743,ALDD4
1.1.1.1,0.84,Thermus thermophilus,-0.07572071393811836,,77,18456852.0,0.9852832965415746,VNDH_2
1.1.1.1,0.84,Thermus thermophilus,-0.07572071393811836,,80,18456852.0,0.9867354458364038,VNDH_2
1.1.1.1,0.84,Thermus thermophilus,-0.07572071393811836,,88,18456852.0,0.9866567828020756,GLYCDx
1.1.1.1,0.84,Thermus thermophilus,-0.07572071393811836,,95,18456852.0,0.9866765358993338,PXMO_r
1.1.1.1,1,Mycobacterium sp.,0.0,['W8VSK8'],219,25082080.0,0.9681390296886314,ALDD4
1.1.1.1,1,Mycobacterium sp.,0.0,['W8VSK8'],221,25082080.0,0.9645953757225434,GLTPD
1.1.1.1,1,Mycobacterium sp.,0.0,['W8VSK8'],223,25082080.0,0.9700729927007299,ALDD4
1.1.1.1,1,Mycobacterium sp.,0.0,['W8VSK8'],224,25082080.0,0.9743589743589743,ALDD4
1.1.1.1,3.4,Saccharolobus solfataricus,0.5314789170422551,['P39462'],36,19588068.0,0.9873887240356083,GLYCDx
1.1.1.1,3.4,Saccharolobus solfataricus,0.5314789170422551,['P39462'],37,19588068.0,0.9043927648578811,PACCOAE_r
1.1.1.1,3.4,Saccharolobus solfataricus,0.5314789170422551,['P39462'],38,19588068.0,0.9541875447387258,ALDD4
1.1.1.1,3.4,Saccharolobus solfataricus,0.5314789170422551,['P39462'],39,19588068.0,0.9043927648578811,PACCOAE_r
1.1.1.1,3.4,Saccharolobus solfataricus,0.5314789170422551,['P39462'],40,19588068.0,0.9681390296886314,ALDD4
1.1.1.1,3.4,Saccharolobus solfataricus,0.5314789170422551,['P39462'],41,19588068.0,0.9439716312056737,ALDD4
1.1.1.1,3.4,Saccharolobus solfataricus,0.5314789170422551,['P39462'],42,19588068.0,0.9830383480825958,IPDPS_r
1.1.1.1,3.4,Saccharolobus solfataricus,0.5314789170422551,['P39462'],43,19588068.0,0.9605168700646087,ABUTD
1.1.1.1,3.4,Saccharolobus solfataricus,0.5314789170422551,['P39462'],44,19588068.0,0.9700729927007299,ALDD4
1.1.1.1,3.4,Saccharolobus solfataricus,0.5314789170422551,['P39462'],45,19588068.0,0.9888392857142857,ALDD4
1.1.1.1,3.4,Saccharolobus solfataricus,0.5314789170422551,['P39462'],46,19588068.0,0.9387323943661972,GLTPD
1.1.1.1,3.4,Saccharolobus solfataricus,0.5314789170422551,['P39462'],47,19588068.0,0.9867354458364038,VNDH_2
1.1.1.1,3.4,Saccharolobus solfataricus,0.5314789170422551,['P39462'],48,19588068.0,0.9723032069970845,4MBZALDH
1.1.1.1,3.4,Saccharolobus solfataricus,0.5314789170422551,['P39462'],49,19588068.0,0.9866567828020756,GLYCDx
1.1.1.1,3.4,Saccharolobus solfataricus,0.5314789170422551,['P39462'],50,19588068.0,0.9645953757225434,GLTPD
1.1.1.1,3.4,Saccharolobus solfataricus,0.5314789170422551,['P39462'],52,19588068.0,0.9681390296886314,ALDD4
1.1.1.1,3.4,Saccharolobus solfataricus,0.5314789170422551,['P39462'],53,19588068.0,0.9387323943661972,GLTPD
1.1.1.1,3.7,Sulfolobus acidocaldarius,0.568201724066995,"['Q4J702', 'Q4J9F2']",11,20049620.0,0.9630434782608696,DMPPS_r
1.1.1.1,3.7,Sulfolobus acidocaldarius,0.568201724066995,"['Q4J702', 'Q4J9F2']",13,20049620.0,0.9673676577229877,4MBZALDH
1.1.1.1,3.7,Sulfolobus acidocaldarius,0.568201724066995,"['Q4J702', 'Q4J9F2']",15,20049620.0,0.9630434782608696,DMPPS_r
1.1.1.1,3.7,Sulfolobus acidocaldarius,0.568201724066995,"['Q4J702', 'Q4J9F2']",17,20049620.0,0.9673676577229877,4MBZALDH
1.1.1.1,3.7,Sulfolobus acidocaldarius,0.568201724066995,"['Q4J702', 'Q4J9F2']",22,20049620.0,0.987627365356623,PUTA3
1.1.1.1,3.7,Sulfolobus acidocaldarius,0.568201724066995,"['Q4J702', 'Q4J9F2']",25,20049620.0,0.9161512027491409,GLYCDx
1.1.1.1,3.7,Sulfolobus acidocaldarius,0.568201724066995,"['Q4J702', 'Q4J9F2']",11,20049620.0,0.9630434782608696,DMPPS_r
1.1.1.1,3.7,Sulfolobus acidocaldarius,0.568201724066995,"['Q4J702', 'Q4J9F2']",13,20049620.0,0.9673676577229877,4MBZALDH
1.1.1.1,3.7,Sulfolobus acidocaldarius,0.568201724066995,"['Q4J702', 'Q4J9F2']",15,20049620.0,0.9630434782608696,DMPPS_r
1.1.1.1,3.7,Sulfolobus acidocaldarius,0.568201724066995,"['Q4J702', 'Q4J9F2']",17,20049620.0,0.9673676577229877,4MBZALDH
1.1.1.1,3.7,Sulfolobus acidocaldarius,0.568201724066995,"['Q4J702', 'Q4J9F2']",22,20049620.0,0.987627365356623,PUTA3
1.1.1.1,3.7,Sulfolobus acidocaldarius,0.568201724066995,"['Q4J702', 'Q4J9F2']",25,20049620.0,0.9161512027491409,GLYCDx
1.1.1.1,8,Geobacillus stearothermophilus,0.9030899869919435,['P42328'],255,25314615.0,0.9723032069970845,4MBZALDH
1.1.1.1,10.4,Thermococcus kodakarensis,1.0170333392987803,['Q5JI09'],170,23354700.0,0.9744338933528123,4MBZALDH
1.1.1.1,10.4,Thermococcus kodakarensis,1.0170333392987803,['Q5JI09'],171,23354700.0,0.9737226277372263,4MBZALDH
1.1.1.1,10.4,Thermococcus kodakarensis,1.0170333392987803,['Q5JI09'],172,23354700.0,0.9758595464520848,4MBZALDH
1.1.1.1,10.4,Thermococcus kodakarensis,1.0170333392987803,['Q5JI09'],173,23354700.0,0.9765739385065886,4MBZALDH
1.1.1.1,10.4,Thermococcus kodakarensis,1.0170333392987803,['Q5JI09'],174,23354700.0,0.9780058651026393,4MBZALDH
1.1.1.1,10.4,Thermococcus kodakarensis,1.0170333392987803,['Q5JI09'],175,23354700.0,0.9837758112094396,4MBZALDH
1.1.1.1,10.4,Thermococcus kodakarensis,1.0170333392987803,['Q5JI09'],176,23354700.0,0.9859467455621301,PXMO_r
1.1.1.1,10.4,Thermococcus kodakarensis,1.0170333392987803,['Q5JI09'],177,23354700.0,0.9653429602888086,BDH
1.1.1.1,10.4,Thermococcus kodakarensis,1.0170333392987803,['Q5JI09'],180,23354700.0,0.9574314574314574,ALDD4
1.1.1.1,10.4,Thermococcus kodakarensis,1.0170333392987803,['Q5JI09'],181,23354700.0,0.9155799588194921,SO3R_r
1.1.1.1,10.4,Thermococcus kodakarensis,1.0170333392987803,['Q5JI09'],184,23354700.0,0.9866567828020756,GLYCDx
1.1.1.1,19.3,Sulfolobus acidocaldarius,1.2855573090077739,['Q4J9F2'],132,22805786.0,0.8953722334004024,HIBDkt
1.1.1.1,19.3,Sulfolobus acidocaldarius,1.2855573090077739,['Q4J9F2'],144,22805786.0,0.9161512027491409,GLYCDx
1.1.1.1,19.3,Sulfolobus acidocaldarius,1.2855573090077739,['Q4J9F2'],146,22805786.0,0.9526202440775305,ALDD4
1.1.1.1,19.3,Sulfolobus acidocaldarius,1.2855573090077739,['Q4J9F2'],152,22805786.0,0.9673676577229877,4MBZALDH
1.1.1.1,30.8,Thermococcus kodakarensis,1.4885507165004443,['Q5JI09'],170,23354700.0,0.9744338933528123,4MBZALDH
1.1.1.1,30.8,Thermococcus kodakarensis,1.4885507165004443,['Q5JI09'],171,23354700.0,0.9737226277372263,4MBZALDH
1.1.1.1,30.8,Thermococcus kodakarensis,1.4885507165004443,['Q5JI09'],172,23354700.0,0.9758595464520848,4MBZALDH
1.1.1.1,30.8,Thermococcus kodakarensis,1.4885507165004443,['Q5JI09'],173,23354700.0,0.9765739385065886,4MBZALDH
1.1.1.1,30.8,Thermococcus kodakarensis,1.4885507165004443,['Q5JI09'],174,23354700.0,0.9780058651026393,4MBZALDH
1.1.1.1,30.8,Thermococcus kodakarensis,1.4885507165004443,['Q5JI09'],175,23354700.0,0.9837758112094396,4MBZALDH
1.1.1.1,30.8,Thermococcus kodakarensis,1.4885507165004443,['Q5JI09'],176,23354700.0,0.9859467455621301,PXMO_r
1.1.1.1,30.8,Thermococcus kodakarensis,1.4885507165004443,['Q5JI09'],177,23354700.0,0.9653429602888086,BDH
1.1.1.1,30.8,Thermococcus kodakarensis,1.4885507165004443,['Q5JI09'],180,23354700.0,0.9574314574314574,ALDD4
1.1.1.1,30.8,Thermococcus kodakarensis,1.4885507165004443,['Q5JI09'],181,23354700.0,0.9155799588194921,SO3R_r
1.1.1.1,30.8,Thermococcus kodakarensis,1.4885507165004443,['Q5JI09'],184,23354700.0,0.9866567828020756,GLYCDx
1.1.1.1,33,Geobacillus stearothermophilus,1.5185139398778875,,209,23686507.0,0.9743589743589743,ALDD4
1.1.1.1,33,Geobacillus stearothermophilus,1.5185139398778875,,211,23686507.0,0.9866765358993338,PXMO_r
1.1.1.1,34.2,Geobacillus stearothermophilus,1.534026106056135,['P42328'],187,26329849.0,0.9745083758193737,SSALx
1.1.1.1,34.2,Geobacillus stearothermophilus,1.534026106056135,['P42328'],190,26329849.0,0.9656897784131523,3HCINNMH_r
1.1.1.1,34.2,Geobacillus stearothermophilus,1.534026106056135,['P42328'],191,26329849.0,0.9645953757225434,GLTPD
1.1.1.1,38.5,Geobacillus thermodenitrificans,1.5854607295085006,"['A4IP64', 'A4ISB9']",168,19383697.0,0.9823399558498896,ALDD4
1.1.1.1,443.1,Geobacillus thermodenitrificans,2.646501750031612,"['A4IP64', 'A4ISB9']",168,19383697.0,0.9823399558498896,ALDD4
1.1.1.1,0.41,Aeropyrum pernix,-0.38721614328026455,['Q9Y9P9'],116,16233615.0,0.9859154929577465,ALR4x
1.1.1.1,0.41,Aeropyrum pernix,-0.38721614328026455,['Q9Y9P9'],117,16233615.0,0.9315164220824598,SO3R
1.1.1.1,0.41,Aeropyrum pernix,-0.38721614328026455,['Q9Y9P9'],118,16233615.0,0.985207100591716,4MBZALDH_r
1.1.1.1,0.41,Aeropyrum pernix,-0.38721614328026455,['Q9Y9P9'],119,16233615.0,0.9859154929577465,ALR4x
1.1.1.1,0.41,Aeropyrum pernix,-0.38721614328026455,['Q9Y9P9'],120,16233615.0,0.9772560528246516,ALDD4_r
1.1.1.1,0.41,Aeropyrum pernix,-0.38721614328026455,['Q9Y9P9'],122,16233615.0,0.9031633311814073,PACCOAE
1.1.1.1,0.41,Aeropyrum pernix,-0.38721614328026455,['Q9Y9P9'],125,16233615.0,0.9816446402349486,VNDH_2_r
1.1.1.1,10.3,Saccharolobus solfataricus,1.0128372247051722,['P39462'],51,19588068.0,0.9331034482758621,DHPPD_r
1.1.1.1,10.3,Saccharolobus solfataricus,1.0128372247051722,['P39462'],54,19588068.0,0.9866765358993338,PXMO
1.1.1.1,15.6,Thermococcus kodakarensis,1.1931245983544616,['Q5JI09'],183,23354700.0,0.9574314574314574,ALDD4_r
1.1.1.1,17.3,Thermococcus kodakarensis,1.2380461031287955,['Q5JI09'],183,23354700.0,0.9574314574314574,ALDD4_r
1.1.1.1,26.2,Sulfolobus acidocaldarius,1.4183012913197455,['Q4J9F2'],131,22805786.0,0.9786764705882353,ALR4x
1.1.1.1,26.2,Sulfolobus acidocaldarius,1.4183012913197455,['Q4J9F2'],134,22805786.0,0.9652677279305355,4MBZALDH_r
1.1.1.1,26.2,Sulfolobus acidocaldarius,1.4183012913197455,['Q4J9F2'],135,22805786.0,0.9702683103698332,ALR2x
1.1.1.1,26.2,Sulfolobus acidocaldarius,1.4183012913197455,['Q4J9F2'],136,22805786.0,0.9744338933528123,4MBZALDH_r
1.1.1.1,26.2,Sulfolobus acidocaldarius,1.4183012913197455,['Q4J9F2'],137,22805786.0,0.9687726942628904,4MBZALDH_r
1.1.1.1,26.2,Sulfolobus acidocaldarius,1.4183012913197455,['Q4J9F2'],138,22805786.0,0.9596832253419726,GHBDHx
1.1.1.1,26.2,Sulfolobus acidocaldarius,1.4183012913197455,['Q4J9F2'],140,22805786.0,0.987627365356623,HSDxi
